ID,Model Probability,Model Predicted Label
126325,0.4532766980064719,0
126426,0.3857311036558692,0
126628,0.4001713675467275,0
127226,0.5295078561795257,1
127327,0.5144895175331906,1
127630,0.421771919657256,0
127731,0.42065846862133727,0
127832,0.42001475557107404,0
127933,0.46767930968504035,0
128026,0.5596701162304836,1
128127,0.5009302892773613,1
128632,0.466650454034864,0
128935,0.4899572373868899,0
129028,0.4543512963503806,0
129129,0.6053101691296777,1
129331,0.5050774403659135,1
129634,0.45492964759272053,0
129937,0.505643402271702,1
130013,0.41725538573454724,0
130114,0.5525985414072212,1
130316,0.5394540806610899,1
130417,0.49633130472237047,0
130619,0.5526488365710951,1
130720,0.520094361243268,1
130821,0.4888695531374314,0
130922,0.6366177716212996,1
131217,0.5162622124635896,1
131419,0.5159794665605846,1
131722,0.4764411883541739,0
131823,0.49005022680927185,0
131924,0.5382925549103945,1
132017,0.5375358915599316,1
132118,0.4779687038083846,0
133019,0.4049189323172912,0
133625,0.45242889458369606,0
133827,0.542834088929106,1
133928,0.44196985959852847,0
134021,0.4919108919519015,0
134223,0.44679437104745395,0
134324,0.5380035440152944,1
134425,0.5469998363303638,1
134627,0.5295729955119075,1
134728,0.6158960282948984,1
134829,0.37349539915300495,0
135124,0.43290115624238673,0
135225,0.4466952119125185,0
135528,0.5241923136985784,1
135629,0.4550837788463699,0
135730,0.4035524414519864,0
135932,0.5009743677942483,1
136126,0.5618406628371817,1
136227,0.5283722597569408,1
136631,0.5091237030009538,1
136732,0.4353256295342117,0
136833,0.39532059037794365,0
137027,0.4153033235799964,0
137128,0.5750582579153898,1
137229,0.5475208772580505,1
137431,0.46938694517315527,0
137532,0.41826953578097525,0
137633,0.49442264117951235,0
137936,0.49661262911353976,0
138130,0.4772921113217685,0
138231,0.5436576473074802,1
138332,0.43895276278693685,0
138534,0.4086453146112533,0
138837,0.4554048065290609,0
139233,0.47236943770222717,0
139435,0.500265997457777,1
139637,0.5340766188979138,1
139839,0.46449301568218226,0
140117,0.5884506732431874,1
140319,0.5636405743194338,1
140420,0.44244384339148246,0
140824,0.5636474723954992,1
140925,0.4786350041583666,0
141119,0.506705951640942,1
141422,0.5036817418894144,1
141826,0.5430575595649373,1
142828,0.4336227691439998,0
143224,0.5695863404805973,1
143325,0.42826974570652265,0
143426,0.47928304302906166,0
143830,0.45304227146314746,0
144125,0.46807013870231357,0
144226,0.5666626011574227,1
144428,0.4675656610670705,0
144731,0.5621961008823125,1
144832,0.4762988314345174,0
144933,0.5121318561303756,1
145127,0.5435282390782002,1
145632,0.4835568532749289,0
145834,0.46667160284128495,0
146129,0.4934167426968463,0
146331,0.4620605698959381,0
146432,0.5221792573100308,1
146533,0.5177882742171181,1
146634,0.5527864683454307,1
146735,0.4685855169652455,0
146836,0.6064474103115169,1
146937,0.5671265093247039,1
147030,0.5183009089508093,1
147636,0.5199492603096415,1
147737,0.5429767837506387,1
148032,0.508116025200485,1
148133,0.5244610668142972,1
148335,0.5249945546439725,1
148436,0.5862977316024836,1
148840,0.42713523002766157,0
148941,0.5294719665513034,1
149236,0.4651615077589521,0
149337,0.49629074696584596,0
149539,0.4212841077276627,0
149741,0.5754761809205575,1
149842,0.4711272657382917,0
150019,0.4500429880785692,0
150524,0.4398092114154224,0
150625,0.5537595363462399,1
150726,0.45327277961393936,0
150928,0.4839010599103907,0
151021,0.47898766192426134,0
151223,0.5029834776405959,1
151324,0.44296074393654783,0
151425,0.5088162635663772,1
151526,0.5289398837467271,1
151627,0.51575443055219,1
151728,0.5671273352314375,1
151829,0.4935665361097326,0
151930,0.4088024688113249,0
152225,0.5768594960678938,1
152427,0.3851437887712621,0
152831,0.5309335659269885,1
153025,0.45956428100488705,0
153126,0.6007709357643043,1
153227,0.5018549478323086,1
153429,0.4269079450999836,0
153631,0.5086275457367765,1
153732,0.5565748463099525,1
153833,0.5663790848301226,1
153934,0.5353976982362774,1
154229,0.5488599064917253,1
154330,0.518007397987107,1
154431,0.4721770838898681,0
154532,0.5269744941802493,1
154734,0.48690646657762443,0
154835,0.4340682986697157,0
154936,0.54829273941931,1
155231,0.5203352298074782,1
155635,0.5823252111890518,1
155938,0.5700640397318305,1
156031,0.49291641727563407,0
156233,0.5026710474354319,1
