ID,Model Probability,Model Predicted Label,Actual Label
ACP1423,0.484737955,0,0
ACP1424,0.473838514,0,0
ACP1425,0.51307272,1,0
ACP1427,0.558991538,1,1
ACP1428,0.60984537,1,0
ACP1429,0.473206419,0,0
ACP1430,0.528373071,1,1
ACP1431,0.606946334,1,0
ACP1432,0.566429641,1,0
ACP1433,0.532913286,1,0
ACP1435,0.507473199,1,0
ACP1436,0.57842444,1,0
ACP1437,0.579290724,1,0
ACP1438,0.496735205,0,0
ACP1439,0.528981213,1,0
ACP1442,0.465248156,0,1
ACP1443,0.486272082,0,0
ACP1444,0.51078249,1,1
ACP1448,0.633125679,1,0
