ID,Model Probability,Model Predicted Label
134728,0.56296366,1
134829,0.35824415,0
135124,0.53444546,1
135225,0.48066083,0
135528,0.49410772,0
135629,0.42061543,0
135730,0.4025254,0
135932,0.4054188,0
136126,0.5207228,1
136227,0.45041737,0
136631,0.38993022,0
136732,0.45274115,0
136833,0.2287158,0
137027,0.4026741,0
137128,0.57843834,1
137229,0.47968683,0
137431,0.36017805,0
137532,0.39411592,0
137633,0.5695465,1
137936,0.44612682,0
138130,0.4774833,0
138231,0.5348521,1
138332,0.37975284,0
138534,0.36180887,0
138837,0.4182868,0
139233,0.4466278,0
139435,0.5115993,1
139637,0.51767653,1
139839,0.53832716,1
140117,0.620554,1
140319,0.52893674,1
140420,0.290863,0
140824,0.5923884,1
140925,0.43867186,0
141119,0.50404215,1
141422,0.4729501,0
141826,0.5897562,1
142828,0.4734426,0
143224,0.579403,1
143325,0.44728073,0
143426,0.4726779,0
143830,0.48733938,0
144125,0.46353072,0
144226,0.63004816,1
144428,0.30102012,0
144731,0.5164679,1
144832,0.51310873,1
144933,0.6178847,1
145127,0.4922571,0
145632,0.47131747,0
145834,0.4761601,0
146129,0.4411408,0
146331,0.3560208,0
146432,0.43164593,0
146533,0.5500592,1
146634,0.5960249,1
146735,0.47454727,0
146836,0.51425225,1
146937,0.5744444,1
147030,0.4896473,0
147636,0.52432466,1
147737,0.57132107,1
148032,0.50994635,1
148133,0.5373209,1
148335,0.5190918,1
148436,0.54841506,1
148840,0.38303825,0
148941,0.5755071,1
149236,0.3914282,0
149337,0.48644897,0
149539,0.31799862,0
149741,0.56319517,1
149842,0.44591784,0
150019,0.3716132,0
150524,0.41144508,0
150625,0.566094,1
150726,0.17069133,0
150928,0.4730332,0
151021,0.34976247,0
151223,0.5555151,1
151324,0.4767534,0
151425,0.5163533,1
151526,0.5499714,1
151627,0.48578933,0
151728,0.54218245,1
151829,0.48381203,0
151930,0.349134,0
152225,0.5942272,1
152427,0.35744703,0
152831,0.5282913,1
153025,0.5663571,1
153126,0.60310775,1
153227,0.560852,1
153429,0.3759673,0
153631,0.5911626,1
153732,0.5213025,1
153833,0.5420688,1
153934,0.59080654,1
154229,0.55865616,1
154330,0.34895644,0
154431,0.45430622,0
154532,0.49539554,0
154734,0.482578,0
154835,0.35354233,0
154936,0.5165434,1
155231,0.51449496,1
155635,0.6090201,1
155938,0.5810949,1
156031,0.482159,0
156233,0.502511,1
156334,0.5422191,1
156435,0.4842265,0
156536,0.5830241,1
156637,0.5641909,1
157336,0.49877834,0
157437,0.38536415,0
157942,0.45433727,0
158035,0.28526023,0
158136,0.46490848,0
158338,0.47971278,0
158540,0.5135379,1
158843,0.5676083,1
159138,0.59758353,1
159239,0.27504772,0
159340,0.4889745,0
159744,0.58335817,1
159946,0.45388234,0
160123,0.48611903,0
160729,0.49465302,0
160830,0.40356356,0
160931,0.45096973,0
161327,0.5216398,1
161630,0.53414714,1
161731,0.565618,1
161832,0.41082683,0
162026,0.49815693,0
162228,0.17581782,0
162329,0.45599836,0
162733,0.5585742,1
162935,0.5553212,1
163129,0.51190746,1
163331,0.5177027,1
163432,0.47606555,0
163836,0.4062859,0
164030,0.48942828,0
164131,0.53256506,1
164636,0.5369818,1
164939,0.4479797,0
165032,0.57551223,1
